iisID,age,education,job,gender,region,ethnicity,tk2017,tk2021
558206,42,Master,Part-time employed,Male,South  of the country,Dutch origin,SP,NA
558207,36,MBO 2-4,Full-time employed,Female,West of the country,Dutch origin,PVV,NA
558208,19,Bachelor,Student or full-time education,Male,South  of the country,Dutch origin,New,NA
558221,20,MBO 2-4,Part-time employed,Male,West of the country,Dutch origin,Not,NA
558224,20,Bachelor,Student or full-time education,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,GL,NA
558337,20,MBO 2-4,Full-time employed,Male,West of the country,Dutch origin,New,NA
558339,56,MBO 2-4,Entrepreneur,Male,West of the country,Second generation Western immigrant,VVD,NA
558346,23,Master,Unemployed and searching for a job,Male,West of the country,Second generation non-Western immigrant,GL,NA
558356,20,Bachelor,Student or full-time education,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,New,NA
558358,23,MBO 2-4,Part-time employed,Male,East  of the country,Dutch origin,Not,NA
558359,20,MBO 2-4,Student or full-time education,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,CDA,NA
558463,40,Bachelor,Part-time employed,Male,West of the country,Dutch origin,D66,NA
558470,57,MBO 2-4,Full-time employed,Female,South  of the country,Dutch origin,VVD,NA
558476,48,"VMBO, MBO 1",Part-time employed,Male,South  of the country,Dutch origin,PVV,NA
558485,21,Bachelor,Part-time employed,Male,East  of the country,Dutch origin,50+,NA
558591,37,"VMBO, MBO 1",Unemployed and not searching for a job or incapacitated,Male,West of the country,Dutch origin,PvdA,NA
558592,33,MBO 2-4,Full-time employed,Female,West of the country,Second generation non-Western immigrant,PvdD,NA
558593,23,MBO 2-4,Part-time employed,Male,South  of the country,Dutch origin,PvdA,NA
558595,22,MBO 2-4,Unemployed and searching for a job,Male,South  of the country,Dutch origin,Not,NA
558604,53,VMBO-T,Part-time employed,Male,South  of the country,Dutch origin,PVV,NA
558605,53,Bachelor,Unemployed and not searching for a job or incapacitated,Male,East  of the country,Dutch origin,GL,NA
558606,23,Bachelor,Part-time employed,Female,East  of the country,Dutch origin,D66,NA
558666,48,"VMBO, MBO 1",Full-time employed,Female,North  of the country,Dutch origin,PvdA,NA
558676,54,"VMBO, MBO 1",Unemployed and not searching for a job or incapacitated,Male,South  of the country,Dutch origin,50+,NA
558677,59,MBO 2-4,Entrepreneur,Male,South  of the country,Dutch origin,CDA,PvdA
558678,63,HAVO/VWO,Full-time employed,Female,West of the country,Dutch origin,ChristenUnie,ChristenUnie
558680,24,Master,Student or full-time education,Male,West of the country,Dutch origin,SP,NA
558682,21,MBO 2-4,Student or full-time education,Male,South  of the country,Dutch origin,PVV,NA
558683,23,Bachelor,Full-time employed,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SGP,NA
558686,44,MBO 2-4,Unemployed and searching for a job,Male,South  of the country,Dutch origin,SP,NA
558687,21,Master,Student or full-time education,Male,West of the country,Dutch origin,D66,NA
558688,43,MBO 2-4,Part-time employed,Male,West of the country,Dutch origin,ChristenUnie,ChristenUnie
558689,69,MBO 2-4,Retired,Male,South  of the country,Dutch origin,NA,SP
558690,18,Bachelor,Student or full-time education,Male,West of the country,Second generation Western immigrant,New,NA
558692,22,MBO 2-4,Part-time employed,Male,North  of the country,Dutch origin,VVD,NA
558693,21,Bachelor,Student or full-time education,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,Not,NA
558695,35,Bachelor,Full-time employed,Male,West of the country,Dutch origin,PVV,NA
558697,25,HAVO/VWO,Unemployed and searching for a job,Female,West of the country,First generation Western immigrant,Denk,NA
558699,42,Bachelor,Entrepreneur,Male,South  of the country,Dutch origin,FvD,NA
558702,42,Master,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",First generation Western immigrant,VVD,NA
558703,33,HAVO/VWO,Part-time employed,Female,West of the country,Dutch origin,PvdD,NA
558705,23,HAVO/VWO,Part-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SP,NA
558708,67,MBO 2-4,Retired,Male,South  of the country,Dutch origin,SP,NA
558711,30,MBO 2-4,Full-time employed,Male,South  of the country,Dutch origin,PVV,NA
558712,38,Master,Entrepreneur,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SP,NA
558717,39,Bachelor,Part-time employed,Male,North  of the country,Dutch origin,Not,NA
558719,73,"VMBO, MBO 1",Retired,Female,North  of the country,Dutch origin,PvdA,PvdA
558720,44,VMBO-T,Unemployed and not searching for a job or incapacitated,Male,East  of the country,Dutch origin,PVV,PVV
558721,56,MBO 2-4,Full-time employed,Female,South  of the country,Second generation Western immigrant,SP,SP
558722,61,"VMBO, MBO 1",Part-time employed,Male,West of the country,Dutch origin,CDA,CDA
558723,27,Bachelor,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Second generation non-Western immigrant,VVD,GL
558724,60,VMBO-T,Housewife/Househusband or else,Male,South  of the country,Dutch origin,SP,SP
558730,41,Bachelor,Full-time employed,Male,West of the country,NA,NA,Not
558733,61,VMBO-T,Part-time employed,Female,West of the country,Dutch origin,SP,SP
558734,68,MBO 2-4,Retired,Female,West of the country,Dutch origin,CDA,NA
558735,28,MBO 2-4,Part-time employed,Male,South  of the country,Dutch origin,NA,NA
558736,53,Bachelor,Full-time employed,Female,West of the country,Dutch origin,D66,NA
558737,23,Bachelor,Unemployed and not searching for a job or incapacitated,Male,West of the country,Dutch origin,GL,NA
558738,39,MBO 2-4,Full-time employed,Female,West of the country,Dutch origin,FvD,PVV
558740,22,Bachelor,Student or full-time education,Male,North  of the country,Dutch origin,VVD,NA
558741,74,MBO 2-4,Retired,Female,South  of the country,First generation Western immigrant,50+,PvdA
558742,58,HAVO/VWO,Part-time employed,Male,East  of the country,Dutch origin,D66,NA
558744,58,HAVO/VWO,Unemployed and searching for a job,Male,South  of the country,Dutch origin,SP,GL
558745,62,HAVO/VWO,Full-time employed,Female,East  of the country,Dutch origin,D66,D66
558747,70,"VMBO, MBO 1",Part-time employed,Female,West of the country,Dutch origin,FvD,PVV
558748,58,HAVO/VWO,Full-time employed,Female,South  of the country,First generation Western immigrant,PVV,NA
558749,23,Bachelor,Part-time employed,Male,West of the country,Dutch origin,NA,NA
558750,69,MBO 2-4,Retired,Female,South  of the country,Dutch origin,NA,NA
558752,53,MBO 2-4,Unemployed and searching for a job,Female,South  of the country,Dutch origin,VVD,VVD
558753,75,MBO 2-4,Retired,Male,West of the country,Dutch origin,SGP,SGP
558754,71,VMBO-T,Retired,Male,South  of the country,Dutch origin,VVD,VVD
558755,76,MBO 2-4,Retired,Male,East  of the country,Dutch origin,PVV,PVV
558756,62,HAVO/VWO,Unemployed and not searching for a job or incapacitated,Male,West of the country,First generation non-Western immigrant,Not,PVV
558757,73,"VMBO, MBO 1",Retired,Female,West of the country,Dutch origin,FvD,PVV
558758,70,Master,Retired,Female,West of the country,Dutch origin,NA,NA
558759,46,MBO 2-4,Entrepreneur,Male,North  of the country,Dutch origin,PvdA,NA
558762,22,Bachelor,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,VVD,NA
558763,74,MBO 2-4,Retired,Male,West of the country,Dutch origin,ChristenUnie,ChristenUnie
558768,50,MBO 2-4,Full-time employed,Female,West of the country,Dutch origin,VVD,VVD
558769,42,VMBO-T,Unemployed and not searching for a job or incapacitated,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Second generation non-Western immigrant,D66,NA
558770,19,Bachelor,Student or full-time education,Female,South  of the country,Dutch origin,New,NA
558772,52,HAVO/VWO,Unemployed and not searching for a job or incapacitated,Male,South  of the country,Dutch origin,GL,SP
558778,66,MBO 2-4,Retired,Female,West of the country,Dutch origin,SP,SP
558780,79,Bachelor,Retired,Female,West of the country,Dutch origin,VVD,NA
558782,49,MBO 2-4,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,CDA,NA
558785,48,"VMBO, MBO 1",Part-time employed,Male,West of the country,Dutch origin,VVD,NA
558787,56,MBO 2-4,Full-time employed,Male,South  of the country,Dutch origin,PvdA,SP
558788,20,Bachelor,Student or full-time education,Male,South  of the country,Dutch origin,PVV,NA
558789,69,HAVO/VWO,Part-time employed,Male,West of the country,Dutch origin,CDA,NA
558790,38,VMBO-T,Full-time employed,Male,South  of the country,Dutch origin,SP,NA
558791,40,MBO 2-4,Full-time employed,Male,South  of the country,Dutch origin,Not,NA
558794,19,Bachelor,Student or full-time education,Male,South  of the country,Dutch origin,D66,NA
558800,56,MBO 2-4,Full-time employed,Female,West of the country,Second generation Western immigrant,PvdD,NA
558803,61,MBO 2-4,Entrepreneur,Female,North  of the country,Dutch origin,GL,GL
558805,62,MBO 2-4,Unemployed and not searching for a job or incapacitated,Male,North  of the country,Dutch origin,SP,SP
558809,21,Bachelor,Student or full-time education,Male,West of the country,Second generation non-Western immigrant,New,NA
558810,52,MBO 2-4,Unemployed and not searching for a job or incapacitated,Female,West of the country,Dutch origin,PVV,ChristenUnie
558812,18,Bachelor,Student or full-time education,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,New,NA
558817,25,Master,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Second generation non-Western immigrant,VVD,NA
558820,46,VMBO-T,Housewife/Househusband or else,Male,North  of the country,Dutch origin,FvD,NA
558823,35,Bachelor,Part-time employed,Male,West of the country,Dutch origin,Not,NA
558826,38,MBO 2-4,Full-time employed,Male,North  of the country,Dutch origin,VVD,NA
558828,21,Bachelor,Student or full-time education,Male,North  of the country,Dutch origin,GL,NA
558829,42,VMBO-T,Part-time employed,Male,South  of the country,Dutch origin,CDA,NA
558835,40,MBO 2-4,Part-time employed,Male,South  of the country,Dutch origin,Not,NA
558836,49,MBO 2-4,Part-time employed,Male,West of the country,Dutch origin,50+,NA
558837,43,Master,Entrepreneur,Male,West of the country,First generation Western immigrant,PvdA,NA
558840,22,Bachelor,Student or full-time education,Male,West of the country,Dutch origin,SP,NA
558841,37,Bachelor,Part-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,PVV,NA
558843,44,Master,Part-time employed,Male,South  of the country,Dutch origin,PVV,NA
558847,56,Bachelor,Full-time employed,Female,East  of the country,Dutch origin,ChristenUnie,ChristenUnie
558851,77,VMBO-T,Full-time employed,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,PvdA,PvdA
558855,77,VMBO-T,Retired,Male,West of the country,Dutch origin,SGP,SGP
558858,74,VMBO-T,Retired,Male,East  of the country,Dutch origin,PvdA,PvdA
558859,58,VMBO-T,Part-time employed,Male,East  of the country,Dutch origin,Not,NA
558860,63,"VMBO, MBO 1",Full-time employed,Female,South  of the country,Dutch origin,ChristenUnie,NA
558861,81,HAVO/VWO,Retired,Male,West of the country,Dutch origin,VVD,NA
558863,47,MBO 2-4,Full-time employed,Female,West of the country,Dutch origin,PVV,PVV
558865,56,MBO 2-4,Part-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SP,FvD
558868,63,VMBO-T,Full-time employed,Female,West of the country,Dutch origin,FvD,PVV
558870,75,HAVO/VWO,Retired,Female,East  of the country,Dutch origin,VVD,VVD
558874,65,HAVO/VWO,Retired,Female,East  of the country,Dutch origin,SP,SP
558877,65,VMBO-T,Retired,Male,West of the country,Dutch origin,GL,NA
558878,39,VMBO-T,Unemployed and not searching for a job or incapacitated,Male,West of the country,Dutch origin,PVV,NA
558879,58,MBO 2-4,Housewife/Househusband or else,Male,East  of the country,Dutch origin,VVD,VVD
558882,58,VMBO-T,Full-time employed,Female,North  of the country,Dutch origin,PVV,NA
558887,97,Bachelor,Retired,Male,South  of the country,Dutch origin,50+,CDA
558889,34,HAVO/VWO,Full-time employed,Female,South  of the country,Dutch origin,SP,NA
558890,43,VMBO-T,Part-time employed,Male,South  of the country,Dutch origin,PVV,NA
558893,63,MBO 2-4,Retired,Female,West of the country,Dutch origin,PvdD,PvdD
558895,69,VMBO-T,Part-time employed,Male,West of the country,Dutch origin,VVD,VVD
558896,21,HAVO/VWO,Student or full-time education,Male,West of the country,Dutch origin,New,NA
558898,24,Bachelor,Part-time employed,Male,North  of the country,Dutch origin,ChristenUnie,NA
558899,45,"VMBO, MBO 1",Full-time employed,Female,South  of the country,Dutch origin,GL,NA
558900,51,MBO 2-4,Unemployed and not searching for a job or incapacitated,Male,West of the country,Dutch origin,Not,NA
558901,47,"VMBO, MBO 1",Unemployed and not searching for a job or incapacitated,Male,East  of the country,Dutch origin,PVV,NA
558903,58,MBO 2-4,Unemployed and not searching for a job or incapacitated,Male,West of the country,Dutch origin,CDA,CDA
558905,54,"VMBO, MBO 1",Full-time employed,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,50+,NA
558908,52,"VMBO, MBO 1",Full-time employed,Male,West of the country,Dutch origin,VVD,NA
558909,54,HAVO/VWO,Full-time employed,Female,North  of the country,Dutch origin,50+,PVV
558910,50,VMBO-T,Unemployed and not searching for a job or incapacitated,Female,West of the country,Dutch origin,CDA,NA
558913,55,MBO 2-4,Full-time employed,Female,West of the country,Dutch origin,50+,NA
558915,57,MBO 2-4,Full-time employed,Female,South  of the country,Dutch origin,50+,SP
558918,65,"VMBO, MBO 1",Unemployed and not searching for a job or incapacitated,Male,South  of the country,Dutch origin,SP,SP
558919,48,MBO 2-4,Part-time employed,Male,West of the country,Dutch origin,VVD,NA
558921,33,Bachelor,Unemployed and not searching for a job or incapacitated,Male,West of the country,Dutch origin,GL,PVV
558923,31,MBO 2-4,Full-time employed,Female,North  of the country,Dutch origin,50+,NA
558931,55,HAVO/VWO,Part-time employed,Male,West of the country,Dutch origin,PvdD,NA
558932,19,VMBO-T,Student or full-time education,Male,North  of the country,Dutch origin,New,NA
558935,21,Bachelor,Student or full-time education,Male,West of the country,Dutch origin,D66,NA
558938,23,MBO 2-4,Part-time employed,Female,North  of the country,Dutch origin,NA,NA
558940,24,Bachelor,Student or full-time education,Male,West of the country,Dutch origin,GL,NA
558942,19,Bachelor,Student or full-time education,Male,South  of the country,First generation Western immigrant,New,NA
558944,22,MBO 2-4,Unemployed and searching for a job,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",First generation non-Western immigrant,Not,NA
558945,52,VMBO-T,Part-time employed,Male,North  of the country,Dutch origin,SP,NA
558952,35,MBO 2-4,Full-time employed,Male,South  of the country,Dutch origin,PvdA,NA
558954,44,MBO 2-4,Full-time employed,Male,West of the country,Dutch origin,PVV,NA
558955,22,Bachelor,Full-time employed,Male,West of the country,Dutch origin,VVD,NA
558956,37,Bachelor,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,D66,NA
558957,43,MBO 2-4,Unemployed and searching for a job,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Second generation Western immigrant,NA,NA
558962,22,Bachelor,Student or full-time education,Male,West of the country,Dutch origin,NA,NA
558964,40,MBO 2-4,Full-time employed,Male,West of the country,Dutch origin,CDA,NA
558965,39,HAVO/VWO,Entrepreneur,Male,South  of the country,Dutch origin,FvD,NA
558969,73,VMBO-T,Retired,Male,South  of the country,Dutch origin,D66,NA
558972,36,MBO 2-4,Full-time employed,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,CDA,NA
558973,39,"VMBO, MBO 1",Part-time employed,Male,South  of the country,Dutch origin,SP,NA
558974,58,"VMBO, MBO 1",Full-time employed,Female,East  of the country,Dutch origin,Not,NA
558975,81,MBO 2-4,Retired,Male,East  of the country,Dutch origin,CDA,CDA
558976,67,VMBO-T,Housewife/Househusband or else,Male,East  of the country,Dutch origin,SP,SP
558980,62,VMBO-T,Part-time employed,Male,East  of the country,Dutch origin,Not,NA
558982,72,"VMBO, MBO 1",Housewife/Househusband or else,Male,West of the country,Dutch origin,PvdA,SP
558983,64,VMBO-T,Unemployed and not searching for a job or incapacitated,Female,South  of the country,Dutch origin,SP,NA
558986,65,MBO 2-4,Housewife/Househusband or else,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SP,NA
558988,74,"VMBO, MBO 1",Retired,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,VVD,NA
558989,73,VMBO-T,Retired,Male,South  of the country,Dutch origin,GL,D66
558990,65,MBO 2-4,Part-time employed,Female,West of the country,Dutch origin,50+,CDA
558991,18,Bachelor,Student or full-time education,Female,South  of the country,Dutch origin,New,NA
558992,23,Bachelor,Full-time employed,Female,East  of the country,Dutch origin,VVD,NA
558993,63,MBO 2-4,Part-time employed,Female,West of the country,Dutch origin,SGP,SGP
558994,56,MBO 2-4,Unemployed and not searching for a job or incapacitated,Female,North  of the country,Second generation Western immigrant,SP,SP
558996,21,Bachelor,Student or full-time education,Female,South  of the country,Dutch origin,Not,NA
558998,36,MBO 2-4,Part-time employed,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SP,NA
558999,68,MBO 2-4,Housewife/Househusband or else,Male,South  of the country,Dutch origin,SP,NA
559000,21,VMBO-T,Part-time employed,Female,East  of the country,Dutch origin,VVD,NA
559001,59,VMBO-T,Full-time employed,Female,East  of the country,Dutch origin,SP,NA
559004,58,HAVO/VWO,Full-time employed,Female,South  of the country,Dutch origin,FvD,Other
559006,39,VMBO-T,Part-time employed,Female,West of the country,Dutch origin,Not,NA
559010,59,HAVO/VWO,Entrepreneur,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SP,SP
559012,66,"VMBO, MBO 1",Unemployed and not searching for a job or incapacitated,Female,South  of the country,Dutch origin,SP,SP
559013,73,MBO 2-4,Retired,Female,East  of the country,Dutch origin,VVD,NA
559014,78,MBO 2-4,Retired,Female,South  of the country,Dutch origin,CDA,VVD
559022,39,"VMBO, MBO 1",Housewife/Househusband or else,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Second generation non-Western immigrant,NA,NA
559024,34,MBO 2-4,Full-time employed,Male,North  of the country,Dutch origin,Not,NA
559025,69,VMBO-T,Retired,Female,West of the country,Dutch origin,ChristenUnie,NA
559027,49,MBO 2-4,Unemployed and not searching for a job or incapacitated,Male,West of the country,Dutch origin,CDA,NA
559031,24,MBO 2-4,Part-time employed,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",NA,Not,NA
559034,74,MBO 2-4,Retired,Female,South  of the country,Dutch origin,ChristenUnie,D66
559036,53,MBO 2-4,Part-time employed,Male,West of the country,Dutch origin,PvdD,PvdD
559038,49,MBO 2-4,Full-time employed,Female,West of the country,Dutch origin,PVV,NA
559041,23,MBO 2-4,Part-time employed,Male,South  of the country,Dutch origin,PVV,NA
559042,52,MBO 2-4,Part-time employed,Male,North  of the country,Dutch origin,GL,NA
559044,44,"VMBO, MBO 1",Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",First generation non-Western immigrant,PvdA,NA
559046,59,MBO 2-4,Full-time employed,Female,North  of the country,Dutch origin,PVV,PVV
559047,50,HAVO/VWO,Full-time employed,Male,North  of the country,Dutch origin,SP,SP
559055,46,"VMBO, MBO 1",Part-time employed,Male,West of the country,Dutch origin,VVD,NA
559060,50,"VMBO, MBO 1",Full-time employed,Female,West of the country,Dutch origin,D66,D66
559063,22,MBO 2-4,Full-time employed,Male,South  of the country,Dutch origin,Not,NA
559068,24,Bachelor,Part-time employed,Male,North  of the country,Dutch origin,Not,NA
559069,72,MBO 2-4,Retired,Female,South  of the country,Dutch origin,CDA,CDA
559078,35,Bachelor,Part-time employed,Male,North  of the country,Dutch origin,ChristenUnie,NA
559080,19,Bachelor,Student or full-time education,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,GL,NA
559083,35,Bachelor,Part-time employed,Male,West of the country,Dutch origin,ChristenUnie,NA
559084,25,Master,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,GL,NA
559087,35,Bachelor,Full-time employed,Male,South  of the country,Dutch origin,PvdA,NA
559088,22,Bachelor,Part-time employed,Male,West of the country,Dutch origin,PvdD,NA
559092,40,Bachelor,Part-time employed,Male,South  of the country,Dutch origin,Not,NA
559095,43,MBO 2-4,Entrepreneur,Male,South  of the country,Dutch origin,FvD,NA
559098,25,Bachelor,Part-time employed,Female,West of the country,Dutch origin,FvD,NA
559101,40,Bachelor,Part-time employed,Male,South  of the country,Dutch origin,SP,NA
559102,63,VMBO-T,Unemployed and not searching for a job or incapacitated,Female,West of the country,Dutch origin,50+,D66
559103,61,"VMBO, MBO 1",Housewife/Househusband or else,Male,East  of the country,Dutch origin,PVV,PVV
559105,71,"VMBO, MBO 1",Retired,Male,North  of the country,Dutch origin,VVD,VVD
559108,40,MBO 2-4,Full-time employed,Female,West of the country,Dutch origin,PVV,NA
559109,36,VMBO-T,Part-time employed,Male,North  of the country,Dutch origin,SP,NA
559110,51,VMBO-T,Part-time employed,Male,West of the country,Dutch origin,NA,SP
559112,43,VMBO-T,Full-time employed,Female,West of the country,Dutch origin,SP,NA
559115,83,Master,Retired,Female,East  of the country,Dutch origin,PvdA,PvdA
559116,58,Bachelor,Part-time employed,Male,East  of the country,Dutch origin,SP,PvdD
559118,63,MBO 2-4,Housewife/Househusband or else,Male,South  of the country,Dutch origin,FvD,NA
559120,54,MBO 2-4,Entrepreneur,Female,East  of the country,Dutch origin,PvdA,PvdA
559122,46,MBO 2-4,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,VVD,VVD
559123,69,MBO 2-4,Retired,Female,South  of the country,Second generation Western immigrant,50+,VVD
559124,56,MBO 2-4,Housewife/Househusband or else,Male,West of the country,Dutch origin,NA,NA
559127,35,Bachelor,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,CDA,D66
559128,71,MBO 2-4,Retired,Female,East  of the country,Dutch origin,CDA,CDA
559129,52,Master,Full-time employed,Female,East  of the country,Dutch origin,VVD,VVD
559130,59,MBO 2-4,Entrepreneur,Male,East  of the country,Dutch origin,GL,D66
559134,74,MBO 2-4,Retired,Female,East  of the country,Dutch origin,VVD,VVD
559135,74,MBO 2-4,Retired,Female,West of the country,Dutch origin,CDA,CDA
559136,59,MBO 2-4,Unemployed and searching for a job,Female,North  of the country,Dutch origin,PVV,PVV
559137,58,MBO 2-4,Housewife/Househusband or else,Male,South  of the country,First generation Western immigrant,New,NA
559138,68,MBO 2-4,Retired,Female,North  of the country,First generation Western immigrant,New,NA
559139,71,HAVO/VWO,Retired,Male,East  of the country,Dutch origin,CDA,PVV
559140,52,MBO 2-4,Full-time employed,Female,South  of the country,Dutch origin,NA,D66
559141,69,MBO 2-4,Retired,Female,South  of the country,Dutch origin,FvD,NA
559144,53,VMBO-T,Full-time employed,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SP,PVV
559148,66,MBO 2-4,Retired,Female,South  of the country,Dutch origin,CDA,NA
559150,55,MBO 2-4,Unemployed and searching for a job,Male,North  of the country,Dutch origin,PvdA,PvdA
559155,47,MBO 2-4,Part-time employed,Male,North  of the country,Dutch origin,Not,NA
559158,24,Bachelor,Full-time employed,Female,South  of the country,Dutch origin,VVD,NA
559161,22,Bachelor,Student or full-time education,Male,South  of the country,Dutch origin,PVV,NA
559162,71,HAVO/VWO,Retired,Female,West of the country,Dutch origin,VVD,VVD
559164,40,"VMBO, MBO 1",Part-time employed,Female,North  of the country,Dutch origin,NA,NA
559166,59,MBO 2-4,Unemployed and searching for a job,Female,South  of the country,Dutch origin,SP,D66
559168,22,MBO 2-4,Student or full-time education,Male,North  of the country,First generation non-Western immigrant,Denk,NA
559169,67,VMBO-T,Retired,Female,North  of the country,Dutch origin,CDA,CDA
559170,50,MBO 2-4,Housewife/Househusband or else,Male,South  of the country,Dutch origin,VVD,NA
559172,65,MBO 2-4,Housewife/Househusband or else,Male,West of the country,Dutch origin,NA,PVV
559174,36,MBO 2-4,Full-time employed,Female,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,VVD,NA
559176,48,MBO 2-4,Part-time employed,Male,North  of the country,Dutch origin,CDA,NA
559177,53,HAVO/VWO,Housewife/Househusband or else,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,GL,D66
559178,51,VMBO-T,Part-time employed,Male,West of the country,Dutch origin,NA,NA
559181,45,MBO 2-4,Full-time employed,Female,South  of the country,Dutch origin,GL,NA
559185,66,MBO 2-4,Retired,Male,North  of the country,Dutch origin,50+,NA
559187,48,MBO 2-4,Full-time employed,Male,South  of the country,Dutch origin,VVD,NA
559188,63,MBO 2-4,Retired,Female,West of the country,Dutch origin,SGP,SGP
559191,20,Bachelor,Student or full-time education,Male,South  of the country,Dutch origin,New,NA
559192,23,Bachelor,Student or full-time education,Male,West of the country,Dutch origin,NA,NA
559194,19,MBO 2-4,Full-time employed,Male,West of the country,Dutch origin,New,NA
559196,38,MBO 2-4,Housewife/Househusband or else,Male,South  of the country,Dutch origin,Not,NA
559199,40,Bachelor,Full-time employed,Female,West of the country,Dutch origin,VVD,NA
559203,23,Bachelor,Student or full-time education,Male,South  of the country,Dutch origin,GL,NA
559206,37,MBO 2-4,Housewife/Househusband or else,Male,North  of the country,Dutch origin,ChristenUnie,NA
